id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1610,2,0,Schrom,0,0,0,Hybrid,0,Unknown Breeder,"Happy, Relaxed, Uplifted, Energetic, Creative, Dry Mouth","Stress, Depression, Lack of Appetite, Muscle Spasms","Lemon, Citrus, Pine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,2,0,Seattle Cough,0,0,0,Hybrid,0,Unknown Breeder,"Happy, Creative, Uplifted, Relaxed, Talkative, Dry Mouth, Paranoid","Depression, Stress, Inflammation, Nausea","Pine, Citrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,2,0,Sequoia Strawberry,0,0,0,Hybrid,0,Sin City Seeds,"Relaxed, Uplifted, Euphoric, Focused, Energetic, Dry Mouth, Paranoid, Anxious","Depression, Pain, Inflammation, Stress","Strawberry, Sweet, Berry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,2,0,Serious 6,0,0,0,Hybrid,0,Serious Seeds,"Creative, Energetic, Focused, Happy, Hungry, Anxious, Paranoid, Dry Mouth","Stress, Depression, Inflammation","Citrus, Lemon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,2,0,Shining Silver Haze,0,0,0,Hybrid,0,Royal Queen,"Talkative, Happy, Focused, Uplifted, Energetic",Stress,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,2,0,Silver Kush,0,0,0,Hybrid,0,Reserva Privada,"Relaxed, Happy, Uplifted, Creative, Talkative, Dry Mouth, Paranoid","Stress, Depression, Pain, Lack of Appetite, Muscle Spasms","Earthy, Citrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,2,0,Silver Train,0,0,0,Sativa,0,0,"Euphoric, Energetic, Happy, Horny, Focused, Paranoid, Dry Mouth","Stress, Lack of Appetite, Depression, Pain, Inflammation","Pine, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617,2,0,Silverhawks OG,0,0,0,Hybrid,0,GREENLIFE Seeds,"Euphoric, Relaxed, Uplifted, Creative, Happy, Paranoid","Stress, Pain, Lack of Appetite, Depression","Lime, Citrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1618,2,0,Sinai,0,0,0,Sativa,0,0,"Euphoric, Uplifted, Relaxed, Talkative, Happy","Lack of Appetite, Stress",Pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,2,0,Skunk Dawg,0,0,0,Hybrid,0,Unknown Breeder,"Happy, Uplifted, Focused, Relaxed, Energetic, Dry Mouth, Paranoid","Stress, Pain, Inflammation, Nausea","Skunk, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620,2,0,Slazerbeam,0,0,0,Sativa,0,0,"Creative, Uplifted, Energetic, Happy, Talkative","Depression, Stress, Nausea, Pain","Sweet, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621,2,0,SleeSkunk,0,0,0,Hybrid,0,DNA Genetics,"Creative, Euphoric, Tingly, Uplifted, Energetic, Dry Mouth, Paranoid","Nausea, Stress, Muscle Spasms, Depression","Skunk, Pine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622,2,0,SleeStack,0,0,0,Hybrid,0,Reserva Privada,"Uplifted, Euphoric, Creative, Relaxed, Talkative, Anxious, Dry Mouth","Stress, Depression","Sweet, Pine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,2,0,Sojay Haze,0,0,0,Sativa,0,0,"Creative, Happy, Relaxed, Energetic, Euphoric, Dry Mouth","Pain, Depression, Stress","Citrus, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624,2,0,Sonic Screwdriver,0,0,0,Hybrid,0,TGA Seeds,"Happy, Euphoric, Uplifted, Creative, Dry Mouth","Stress, Pain, Depression","Earthy, Citrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,2,0,Sour Amnesia,0,0,0,Hybrid,0,HortiLab Seeds,"Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain, Inflammation","Sweet, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1626,2,0,Sour Breath,0,0,0,Sativa,0,0,"Happy, Uplifted, Focused, Talkative, Energetic, Dry Mouth","Depression, Stress, Insomnia, Lack of Appetite",Pine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
